1 500 239 47.8
2 489 237 48.466
3 492 235 47.764
4 498 234 46.988
5 499 247 49.499
6 483 238 49.275
7 475 217 45.684
8 465 204 43.871
9 451 200 44.346
10 446 200 44.843
11 444 187 42.117
12 453 187 41.28
13 443 178 40.181
14 444 177 39.865
15 449 187 41.648
16 440 176 40
17 452 196 43.363
18 445 191 42.921
19 446 179 40.135
20 448 193 43.08
21 444 201 45.27
22 455 212 46.593
23 452 219 48.451
24 443 213 48.081
25 439 204 46.469
26 444 212 47.748
27 456 212 46.491
28 460 203 44.13
29 455 197 43.297
30 451 196 43.459
31 434 185 42.627
32 434 181 41.705
33 435 190 43.678
34 436 182 41.743
35 442 185 41.855
36 456 194 42.544
37 458 203 44.323
38 449 204 45.434
39 448 187 41.741
40 438 190 43.379
41 424 195 45.991
42 418 190 45.455
43 428 197 46.028
44 428 195 45.561
45 418 189 45.215
46 418 188 44.976
47 409 187 45.721
48 398 178 44.724
49 409 174 42.543
50 409 168 41.076
51 402 166 41.294
52 402 176 43.781
53 382 167 43.717
54 386 155 40.155
55 393 156 39.695
56 385 157 40.779
57 369 156 42.276
58 358 162 45.251
59 362 161 44.475
60 351 151 43.02
61 365 153 41.918
62 389 156 40.103
63 383 148 38.642
64 382 148 38.743
65 370 152 41.081
66 376 152 40.426
67 375 158 42.133
68 385 165 42.857
69 391 170 43.478
70 388 173 44.588
71 385 168 43.636
72 394 174 44.162
73 394 186 47.208
74 388 179 46.134
75 380 173 45.526
76 376 171 45.479
77 360 174 48.333
78 373 198 53.083
79 359 198 55.153
80 370 203 54.865
81 368 212 57.609
82 360 213 59.167
83 354 211 59.605
84 354 211 59.605
85 351 212 60.399
86 350 219 62.571
87 348 226 64.943
88 350 226 64.571
89 336 218 64.881
90 343 223 65.015
91 332 214 64.458
92 327 204 62.385
93 310 201 64.839
94 314 210 66.879
95 317 205 64.669
96 322 219 68.012
97 316 223 70.57
98 324 230 70.988
99 332 237 71.386
100 326 233 71.472
101 310 229 73.871
102 304 231 75.987
103 305 235 77.049
104 287 228 79.443
105 305 241 79.016
106 308 243 78.896
107 300 236 78.667
108 311 248 79.743
109 315 251 79.683
110 318 249 78.302
111 321 251 78.193
112 311 244 78.457
113 307 235 76.547
114 298 224 75.168
115 300 233 77.667
116 304 238 78.289
117 299 230 76.923
118 295 233 78.983
119 296 233 78.716
120 300 234 78
121 306 236 77.124
122 315 241 76.508
123 342 260 76.023
124 355 268 75.493
125 348 267 76.724
126 342 263 76.901
127 359 264 73.538
